sintoma,especialista
repentino picazón en la cabeza,dermatologo
agudo mareo en los brazos,neurologo
agudo presión en el pecho,cardiologo
intermitente debilidad en la espalda,traumatologo
moderado ardor en la cabeza,neurologo
crónico inflamación en la cabeza,neurologo
leve náuseas en el oído,medico_general
crónico picazón en el cuello,dermatologo
intermitente presión en la cabeza,cardiologo
fuerte dolor en la piel,dermatologo
leve fatiga en la rodilla,medico_general
leve sensibilidad en la piel,dermatologo
leve picazón en el pecho,dermatologo
crónico dolor en la piel,dermatologo
fuerte rigidez en el cuello,medico_general
crónico ardor en los brazos,medico_general
repentino sensibilidad en la espalda,traumatologo
moderado fiebre en el oído,medico_general
fuerte náuseas en la piel,dermatologo
moderado náuseas en el cuello,medico_general
fuerte picazón en la rodilla,dermatologo
intermitente fiebre en el cuello,medico_general
leve dolor en el cuello,medico_general
leve inflamación en la rodilla,medico_general
moderado náuseas en la garganta,medico_general
moderado inflamación en la cabeza,neurologo
moderado sensibilidad en la espalda,traumatologo
moderado fatiga en la cabeza,neurologo
crónico fatiga en la espalda,traumatologo
repentino ardor en el cuello,medico_general
repentino fiebre en el estómago,gastroenterologo
moderado fiebre en el estómago,gastroenterologo
agudo ardor en el pecho,cardiologo
agudo fatiga en la piel,dermatologo
agudo fiebre en las piernas,medico_general
agudo ardor en la espalda,traumatologo
moderado náuseas en el pecho,cardiologo
moderado picazón en la rodilla,dermatologo
fuerte sensibilidad en el pecho,cardiologo
repentino sensibilidad en la garganta,medico_general
repentino fiebre en la cabeza,neurologo
agudo sensibilidad en el estómago,gastroenterologo
crónico náuseas en el estómago,gastroenterologo
leve sensibilidad en la garganta,medico_general
intermitente ardor en la espalda,traumatologo
agudo mareo en la espalda,neurologo
moderado mareo en las piernas,neurologo
agudo debilidad en los brazos,medico_general
intermitente náuseas en la rodilla,medico_general
leve sensibilidad en la rodilla,medico_general
crónico náuseas en los brazos,medico_general
crónico dolor en el estómago,gastroenterologo
crónico fatiga en los brazos,medico_general
moderado ardor en la garganta,medico_general
leve picazón en la cabeza,dermatologo
fuerte presión en el estómago,cardiologo
intermitente sensibilidad en los ojos,medico_general
agudo inflamación en los brazos,medico_general
moderado fiebre en la rodilla,medico_general
fuerte mareo en el estómago,neurologo
crónico fatiga en la rodilla,medico_general
crónico debilidad en las piernas,medico_general
agudo fiebre en el pecho,cardiologo
moderado rigidez en el pecho,cardiologo
crónico inflamación en el pecho,cardiologo
fuerte ardor en el pecho,cardiologo
repentino mareo en el cuello,neurologo
repentino náuseas en la piel,dermatologo
moderado fatiga en la espalda,traumatologo
fuerte rigidez en los ojos,medico_general
crónico rigidez en la garganta,medico_general
crónico inflamación en los brazos,medico_general
agudo dolor en el estómago,gastroenterologo
agudo mareo en el pecho,cardiologo
agudo sensibilidad en la rodilla,medico_general
crónico fiebre en el pecho,cardiologo
intermitente mareo en el oído,neurologo
agudo mareo en el pecho,cardiologo
agudo picazón en la garganta,dermatologo
intermitente fatiga en el oído,medico_general
agudo presión en los ojos,cardiologo
agudo mareo en el pecho,cardiologo
agudo náuseas en la piel,dermatologo
fuerte picazón en el oído,dermatologo
leve debilidad en el oído,medico_general
fuerte mareo en la rodilla,neurologo
fuerte dolor en el estómago,gastroenterologo
repentino presión en el pecho,cardiologo
crónico debilidad en la cabeza,neurologo
crónico rigidez en el pecho,cardiologo
intermitente fiebre en el estómago,gastroenterologo
crónico fatiga en las piernas,medico_general
intermitente picazón en la rodilla,dermatologo
intermitente rigidez en la garganta,medico_general
crónico picazón en el pecho,dermatologo
crónico sensibilidad en las piernas,medico_general
agudo presión en la rodilla,cardiologo
fuerte presión en los ojos,cardiologo
moderado picazón en el pecho,dermatologo
moderado debilidad en las piernas,medico_general
fuerte debilidad en el oído,medico_general
fuerte ardor en la piel,dermatologo
crónico sensibilidad en la cabeza,neurologo
agudo rigidez en los ojos,medico_general
agudo inflamación en la espalda,traumatologo
leve debilidad en el estómago,gastroenterologo
moderado dolor en la piel,dermatologo
fuerte inflamación en la espalda,traumatologo
agudo sensibilidad en la cabeza,neurologo
moderado náuseas en las piernas,medico_general
crónico fiebre en la garganta,medico_general
repentino dolor en los brazos,medico_general
moderado presión en la cabeza,cardiologo
leve picazón en el pecho,dermatologo
fuerte sensibilidad en las piernas,medico_general
leve fiebre en las piernas,medico_general
crónico náuseas en la piel,dermatologo
leve náuseas en la cabeza,neurologo
moderado fiebre en la espalda,traumatologo
leve debilidad en la garganta,medico_general
moderado fiebre en la espalda,traumatologo
crónico mareo en el estómago,neurologo
repentino sensibilidad en el pecho,cardiologo
moderado debilidad en la espalda,traumatologo
leve náuseas en la piel,dermatologo
repentino ardor en la piel,dermatologo
crónico debilidad en el pecho,cardiologo
fuerte fatiga en el estómago,gastroenterologo
fuerte presión en los brazos,cardiologo
repentino picazón en las piernas,dermatologo
leve náuseas en la piel,dermatologo
crónico debilidad en la garganta,medico_general
repentino inflamación en los brazos,medico_general
intermitente inflamación en el estómago,gastroenterologo
intermitente mareo en la cabeza,neurologo
crónico sensibilidad en la cabeza,neurologo
leve picazón en el cuello,dermatologo
repentino presión en la rodilla,cardiologo
fuerte fiebre en el pecho,cardiologo
moderado dolor en los ojos,medico_general
crónico sensibilidad en la cabeza,neurologo
agudo rigidez en la cabeza,neurologo
intermitente fatiga en el cuello,medico_general
intermitente fiebre en la espalda,traumatologo
agudo fatiga en el cuello,medico_general
fuerte picazón en los brazos,dermatologo
intermitente mareo en el cuello,neurologo
moderado presión en el oído,cardiologo
agudo picazón en los ojos,dermatologo
moderado ardor en la cabeza,neurologo
moderado dolor en las piernas,medico_general
leve dolor en los ojos,medico_general
fuerte dolor en el oído,medico_general
intermitente sensibilidad en el pecho,cardiologo
agudo náuseas en las piernas,medico_general
moderado fiebre en la piel,dermatologo
intermitente sensibilidad en los ojos,medico_general
moderado debilidad en la rodilla,medico_general
intermitente debilidad en la piel,dermatologo
agudo inflamación en el estómago,gastroenterologo
intermitente dolor en la rodilla,medico_general
fuerte debilidad en los ojos,medico_general
moderado inflamación en el oído,medico_general
moderado fatiga en los ojos,medico_general
repentino inflamación en el pecho,cardiologo
agudo ardor en los brazos,medico_general
agudo debilidad en los ojos,medico_general
repentino debilidad en el oído,medico_general
leve inflamación en la garganta,medico_general
agudo rigidez en los brazos,medico_general
moderado sensibilidad en el cuello,medico_general
intermitente dolor en la espalda,traumatologo
agudo ardor en los brazos,medico_general
crónico presión en el oído,cardiologo
intermitente fiebre en las piernas,medico_general
fuerte dolor en los brazos,medico_general
crónico dolor en la rodilla,medico_general
moderado debilidad en el oído,medico_general
intermitente inflamación en la garganta,medico_general
repentino fatiga en el estómago,gastroenterologo
crónico náuseas en los brazos,medico_general
fuerte fatiga en la garganta,medico_general
fuerte mareo en los brazos,neurologo
leve fatiga en el estómago,gastroenterologo
fuerte fiebre en el estómago,gastroenterologo
moderado picazón en la cabeza,dermatologo
repentino debilidad en la cabeza,neurologo
fuerte ardor en la espalda,traumatologo
moderado náuseas en el estómago,gastroenterologo
leve presión en la piel,dermatologo
agudo sensibilidad en el oído,medico_general
moderado fatiga en la cabeza,neurologo
moderado náuseas en el oído,medico_general
repentino fiebre en la cabeza,neurologo
repentino inflamación en el estómago,gastroenterologo
leve presión en el cuello,cardiologo
repentino rigidez en el oído,medico_general
crónico fiebre en los brazos,medico_general
intermitente náuseas en los brazos,medico_general
repentino mareo en la espalda,neurologo
moderado presión en el estómago,cardiologo
agudo fiebre en las piernas,medico_general
crónico presión en las piernas,cardiologo
repentino sensibilidad en el pecho,cardiologo
repentino fiebre en los brazos,medico_general
repentino debilidad en el pecho,cardiologo
intermitente dolor en el oído,medico_general
agudo sensibilidad en la piel,dermatologo
intermitente fiebre en la rodilla,medico_general
fuerte ardor en las piernas,medico_general
agudo presión en la rodilla,cardiologo
moderado mareo en las piernas,neurologo
moderado ardor en los ojos,medico_general
leve rigidez en la espalda,traumatologo
intermitente náuseas en el cuello,medico_general
moderado dolor en los ojos,medico_general
intermitente dolor en la rodilla,medico_general
fuerte inflamación en los ojos,medico_general
repentino ardor en los brazos,medico_general
moderado ardor en la espalda,traumatologo
leve náuseas en la garganta,medico_general
fuerte dolor en la piel,dermatologo
leve rigidez en las piernas,medico_general
intermitente inflamación en las piernas,medico_general
intermitente ardor en la rodilla,medico_general
crónico picazón en la rodilla,dermatologo
intermitente presión en los brazos,cardiologo
fuerte inflamación en la garganta,medico_general
moderado náuseas en la cabeza,neurologo
leve sensibilidad en la garganta,medico_general
leve fiebre en el estómago,gastroenterologo
moderado dolor en el oído,medico_general
crónico ardor en la espalda,traumatologo
repentino debilidad en los ojos,medico_general
moderado rigidez en el estómago,gastroenterologo
leve presión en la cabeza,cardiologo
crónico fiebre en la garganta,medico_general
intermitente ardor en el estómago,gastroenterologo
fuerte inflamación en la espalda,traumatologo
repentino picazón en el oído,dermatologo
fuerte dolor en la cabeza,neurologo
agudo inflamación en la rodilla,medico_general
agudo fatiga en el pecho,cardiologo
crónico sensibilidad en los brazos,medico_general
intermitente mareo en las piernas,neurologo
moderado náuseas en la rodilla,medico_general
moderado picazón en el cuello,dermatologo
fuerte mareo en la garganta,neurologo
leve debilidad en la piel,dermatologo
agudo picazón en la garganta,dermatologo
moderado ardor en el oído,medico_general
intermitente náuseas en la rodilla,medico_general
intermitente presión en la rodilla,cardiologo
crónico rigidez en los ojos,medico_general
agudo debilidad en la garganta,medico_general
repentino mareo en la piel,dermatologo
agudo ardor en el estómago,gastroenterologo
intermitente sensibilidad en el cuello,medico_general
crónico fiebre en el pecho,cardiologo
intermitente debilidad en la garganta,medico_general
